quote_id,sqft_extracted,source,pattern
1597,1175.0,job_description,"(\d[\d\s\.,]*)\s*p2"
1600,1200.0,job_description,"(\d[\d\s\.,]*)\s*p2"
1601,525.0,job_description,"(\d[\d\s\.,]*)\s*p2"
1624,1200.0,job_description,"(\d[\d\s\.,]*)\s*p2"
1638,1755.0,job_description,"(\d[\d\s\.,]*)\s*p2"
1641,1400.0,job_description,"(\d[\d\s\.,]*)\s*p2"
1642,650.0,job_description,"(\d[\d\s\.,]*)\s*p2"
1656,1050.0,job_description,"(\d[\d\s\.,]*)\s*p2"
1657,1050.0,job_description,"(\d[\d\s\.,]*)\s*p2"
1687,1000.0,job_description,"(\d[\d\s\.,]*)\s*p2"
1688,1020.0,job_description,"(\d[\d\s\.,]*)\s*p2"
1690,1010.0,job_description,"(\d[\d\s\.,]*)\s*p2"
1697,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
1723,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
1725,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
1732,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
1771,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
1802,1095.0,job_description,"(\d[\d\s\.,]*)\s*p2"
1893,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
1941,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
1987,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
2052,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
2067,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
2079,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
2230,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
2233,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
2243,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
2296,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
2297,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
2309,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
2453,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
2457,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
2484,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
2743,1000.0,job_description,"(\d[\d\s\.,]*)\s*sq\.?\s*ft\.?"
2848,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
2982,200.0,job_description,"(\d[\d\s\.,]*)\s*sf"
3008,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3023,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3076,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3175,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3305,1000.0,job_description,"(\d[\d\s\.,]*)\s*sq\.?\s*ft\.?"
3312,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3384,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3396,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3402,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3406,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3429,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3448,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3463,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3561,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3582,1000.0,job_description,"(\d[\d\s\.,]*)\s*sq\.?\s*ft\.?"
3608,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3713,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3718,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3741,1000.0,job_description,"(\d[\d\s\.,]*)\s*sq\.?\s*ft\.?"
3803,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3862,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3894,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3900,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3913,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3916,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3937,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3938,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3951,1000.0,job_description,"(\d[\d\s\.,]*)\s*sq\.?\s*ft\.?"
3966,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3987,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
3997,1000.0,job_description,"(\d[\d\s\.,]*)\s*sq\.?\s*ft\.?"
4004,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4007,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4025,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4030,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4074,1000.0,job_description,"(\d[\d\s\.,]*)\s*sq\.?\s*ft\.?"
4095,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4132,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4189,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4272,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4312,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4374,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4396,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4448,1095.0,job_description,"(\d[\d\s\.,]*)\s*p2"
4493,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4516,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4662,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4675,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4676,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4689,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4799,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4824,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4826,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4958,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
4960,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5028,1000.0,job_description,"(\d[\d\s\.,]*)\s*sq\.?\s*ft\.?"
5041,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5042,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5062,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5084,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5090,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5108,850.0,job_description,"(\d[\d\s\.,]*)\s*p2"
5133,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5141,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5149,150.0,job_description,"(\d[\d\s\.,]*)\s*pi2"
5150,150.0,job_description,"(\d[\d\s\.,]*)\s*pi2"
5170,450.0,job_description,"toit\s*[:\-=]?\s*(\d[\d\s\.,]*)"
5172,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5173,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5187,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5192,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5196,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5203,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5252,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5267,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5268,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5269,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5296,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5299,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5301,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5302,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5303,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5316,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
