quote_id,job_name,job_category,sqft_final,quoted_total,year
166,Resurffaçage Élastomère  (thermosoudé) Call ,Élastomère,815.0,3638.0,2020
167,Élastomère Gris sans parapet 10 carées ,Élastomère,1000.0,10682.0,2020
169,Resurffaçage Élastomère  (thermosoudé) Call ,Élastomère,815.0,2885.0,2020
170,Bavette/ Cabanon Bardeaux moins de 10 paquet,Bardeaux,1000.0,17334.0,2020
171,,Unknown,144.0,2908.0,2020
172,"Création de pente en polyisocyanurate, Membrane Élastomère ",Élastomère,1440.0,12398.0,2020
173,Doubler Pontage plywood 1/2'' D grade,Other,1700.0,25711.03,2020
174,Élastomère Gris sans parapet 10 carées ,Élastomère,4859.0,68295.14,2020
176,Resurffaçage Élastomère  (thermosoudé) Call ,Élastomère,815.0,2491.0,2020
177,"Création de pente en polyisocyanurate, Membrane Élastomère ",Élastomère,1000.0,29321.33,2020
180,,Unknown,800.0,10413.55,2020
182,Resurffaçage Élastomère  (thermosoudé) Call ,Élastomère,815.0,44967.04,2020
184,,Unknown,1440.0,44741.09,2020
190,Resurffaçage Élastomère  (thermosoudé) Call ,Élastomère,815.0,1394.0,2020
192,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,6654.0,2020
196,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,5457.67,2021
198,,Unknown,900.0,13309.47,2021
199,,Unknown,1440.0,29786.26,2021
203,,Unknown,1500.0,20300.03,2021
206,Démolition Terrasse toit plat,Other,2004.0,3400.0,2021
207,Dynasty Bardeaux 150 paquets,Bardeaux,9000.0,36017.46,2021
209,Dynasty Bardeaux 250 paquets,Bardeaux,9000.0,111281.0,2021
211,Instllation unique du puits de lumière sans la boîte ,Skylights,1140.0,17954.44,2021
212,Instllation unique du puits de lumière sans la boîte ,Skylights,2400.0,3235.0,2021
213,Dynasty Bardeaux 150 paquets,Bardeaux,4000.0,24619.14,2021
214,Dynasty Bardeaux 150 paquets,Bardeaux,2600.0,15473.9,2021
215,Bardeaux 500 paquets,Bardeaux,13728.0,62035.33,2021
216,Instllation unique du puits de lumière sans la boîte ,Skylights,2400.0,13160.84,2021
217,Élastomère Gris sans parapet 10 carées ,Élastomère,1620.0,10938.22,2021
225,Dynasty Bardeaux 150 paquets,Bardeaux,4000.0,17074.9,2021
227,"Création de pente en polyisocyanurate, Membrane Élastomère ",Élastomère,1140.0,20272.75,2021
228,,Unknown,806.0,13361.09,2021
230,,Unknown,800.0,15416.36,2021
231,Bavette/ Cabanon Bardeaux moins de 10 paquet,Bardeaux,900.0,9814.36,2021
232,,Unknown,1506.0,20319.4,2021
233,Bardeaux Dynasty 60 paquets,Bardeaux,1400.0,14787.14,2021
236,Bardeaux Dynasty 60 paquets,Bardeaux,1300.0,6932.49,2021
237,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,6988.99,2021
238,Bardeaux Dynasty 60 paquets,Bardeaux,1428.0,5583.99,2021
241,Élastomère Gris sans parapet 10 carées ,Élastomère,1200.0,5622.15,2021
242,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,7366.99,2021
244,Dynasty Bardeaux 250 paquets,Bardeaux,5500.0,24619.14,2021
246,,Unknown,1480.0,17318.11,2021
247,Élastomère Blanc Avec Parapet 10 Carrées,Élastomère,220.0,5846.1,2021
249,,Unknown,850.0,10785.19,2021
251,Instllation unique du puits de lumière sans la boîte ,Skylights,2704.0,3970.71,2021
253,,Unknown,1000.0,4431.6,2021
254,Élastomère Gris sans parapet 10 carées ,Élastomère,1536.0,12042.38,2021
255,Bardeaux Dynasty 60 paquets,Bardeaux,240.0,2298.88,2021
257,Élastomère Gris sans parapet 10 carées ,Élastomère,1000.0,10574.91,2021
260,Bardeaux Dynasty 60 paquets,Bardeaux,1440.0,20451.29,2021
261,Bardeaux 500 paquets,Bardeaux,1700.0,5907.12,2021
262,Dynasty Bardeaux 250 paquets,Bardeaux,5500.0,32262.85,2021
263,Dynasty Bardeaux 150 paquets,Bardeaux,1900.0,8637.9,2021
264,Bardeaux Dynasty 60 paquets,Bardeaux,975.0,6502.99,2021
265,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,7490.99,2021
266,Bardeaux Dynasty 60 paquets,Bardeaux,1000.0,6245.49,2021
267,"Création de pente en polyisocyanurate, Membrane Élastomère ",Élastomère,700.0,12139.91,2021
268,Élastomère Gris sans parapet 10 carées ,Élastomère,2000.0,15818.11,2021
270,Bardeaux 500 paquets,Bardeaux,1813.0,9438.51,2021
271,Bardeaux 500 paquets,Bardeaux,5000.0,43079.05,2021
272,,Unknown,1700.0,5938.85,2021
273,,Unknown,1140.0,24989.6,2021
275,Bardeaux Dynasty 60 paquets,Bardeaux,1300.0,6748.77,2021
276,Bardeaux Dynasty 60 paquets,Bardeaux,900.0,4932.29,2021
278,,Unknown,2000.0,16011.86,2021
279,Bardeaux Dynasty 60 paquets,Bardeaux,1300.0,6756.84,2021
280,,Unknown,1140.0,9341.43,2021
281,Bardeaux Dynasty 60 paquets,Bardeaux,1300.0,6748.77,2021
282,Dynasty Bardeaux 150 paquets,Bardeaux,2800.0,16057.14,2021
283,Bardeaux Dynasty 60 paquets,Bardeaux,2412.0,7918.44,2021
284,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,11094.49,2021
285,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,9485.9,2021
288,,Unknown,1420.0,12826.39,2021
289,Bardeaux Dynasty 60 paquets,Bardeaux,1300.0,6748.77,2021
290,Bardeaux Dynasty 60 paquets,Bardeaux,520.0,6221.06,2021
291,,Unknown,1040.0,11326.82,2021
293,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,9314.88,2021
295,Dynasty Bardeaux 150 paquets,Bardeaux,7200.0,32766.85,2021
296,,Unknown,1040.0,11425.7,2021
297,Instllation unique du puits de lumière sans la boîte ,Skylights,2304.0,4199.67,2021
298,,Unknown,1140.0,24839.6,2021
299,,Unknown,1140.0,24839.6,2021
300,,Unknown,5050.0,60927.37,2021
304,Bardeaux Dynasty 60 paquets,Bardeaux,1200.0,5233.89,2021
305,Bardeaux 500 paquets,Bardeaux,1525.0,5712.11,2021
306,Bardeaux 500 paquets,Bardeaux,2000.0,7157.87,2021
307,Bardeaux 500 paquets,Bardeaux,1660.0,10942.97,2021
309,Instllation unique du puits de lumière sans la boîte ,Skylights,1300.0,24082.82,2021
310,,Unknown,1140.0,10428.55,2021
311,Bardeaux Dynasty 60 paquets,Bardeaux,2200.0,7587.89,2021
312,Élastomère Blanc Avec Parapet 10 Carrées,Élastomère,2200.0,30235.6,2021
313,Bardeaux Dynasty 60 paquets,Bardeaux,950.0,4345.29,2021
314,Bardeaux 500 paquets,Bardeaux,1000.0,1334.63,2021
315,Bardeaux 500 paquets,Bardeaux,1000.0,1302.41,2021
316,,Unknown,1140.0,7988.65,2021
318,Resurffaçage Élastomère  (thermosoudé) Call ,Élastomère,1500.0,8761.14,2021
319,,Unknown,1140.0,11008.99,2021
321,Bardeaux Dynasty,Bardeaux,1200.0,10422.69,2021
322,Bardeaux Dynasty,Bardeaux,1200.0,4382.15,2021
324,Bardeaux 500 paquets,Bardeaux,2000.0,5787.18,2021
325,Bardeaux Dynasty 60 paquets,Bardeaux,1500.0,4241.95,2021
327,,Unknown,1275.0,13915.78,2021
328,Bardeaux Dynasty,Bardeaux,1200.0,4583.85,2021
329,Bardeaux Dynasty 60 paquets,Bardeaux,2400.0,6348.51,2021
330,Bardeaux Dynasty 60 paquets,Bardeaux,1600.0,4585.14,2021
331,Bardeaux Dynasty 60 paquets,Bardeaux,2500.0,7358.09,2021
332,Bardeaux 500 paquets,Bardeaux,1600.0,6497.01,2021
333,,Unknown,3360.0,26651.22,2021
335,"Remise aux normes toitures de bardeaux (pontage, isolation, ventilation, jeu d'air)",Bardeaux,720.0,13550.99,2021
336,Bardeaux 500 paquets,Bardeaux,1650.0,7575.38,2021
337,Bardeaux 500 paquets,Bardeaux,1600.0,5469.77,2021
338,Bardeaux 500 paquets,Bardeaux,1500.0,7206.91,2021
339,Bardeaux Dynasty 60 paquets,Bardeaux,1650.0,4708.54,2021
340,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,4361.99,2021
341,White Élastomère Roof 10 square,Élastomère,1250.0,13780.05,2021
343,,Unknown,5050.0,58658.79,2021
344,Instllation unique du puits de lumière sans la boîte ,Skylights,1296.0,2081.47,2021
345,Bardeaux Dynasty,Bardeaux,1200.0,7498.27,2021
346,Isolantion Bardeau Laine Fibre De Verre R20,Bardeaux,138.0,1038.2,2021
347,,Unknown,1140.0,12050.22,2021
348,"Création de pente en polyisocyanurate, Membrane Élastomère ",Élastomère,1700.0,21234.55,2021
349,,Unknown,1230.0,11744.71,2021
350,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,3257.77,2021
351,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,5895.94,2021
352,Bardeaux Dynasty 60 paquets,Bardeaux,700.0,3679.94,2021
353,Bardeaux 500 paquets,Bardeaux,1000.0,1334.63,2021
354,Bardeaux Dynasty 60 paquets,Bardeaux,1000.0,3270.59,2021
356,Bardeaux Dynasty 60 paquets,Bardeaux,11000.0,34900.0,2021
357,21 Options & travaux divers bardeaux,Bardeaux,4500.0,13555.75,2021
359,Bardeaux Dynasty 60 paquets,Bardeaux,4500.0,13592.88,2021
360,Dynasty Bardeaux 150 paquets,Bardeaux,4000.0,15136.4,2021
361,Bardeaux Dynasty 60 paquets,Bardeaux,1450.0,4952.99,2021
363,Bardeaux Dynasty 60 paquets,Bardeaux,11000.0,28649.45,2021
364,Bardeaux Dynasty 60 paquets,Bardeaux,11000.0,39277.25,2021
365,Élastomère Gris sans parapet 10 carées ,Élastomère,1000.0,2980.66,2021
366,,Unknown,1140.0,29258.07,2021
368,Instllation unique du puits de lumière sans la boîte ,Skylights,800.0,13721.48,2021
371,Bardeaux Dynasty 60 paquets,Bardeaux,64.0,5872.59,2021
372,"TPO 60mil Neuf, pare vapeur et polyiso",Other,50000.0,12092.85,2021
374,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,2038.8,2021
375,0 Ouverture de chantier général,Other,800.0,4010.0,2021
377,Élastomère Gris sans parapet 10 carées ,Élastomère,1140.0,16820.78,2021
382,Bardeaux Dynasty 60 paquets,Bardeaux,4100.0,17345.44,2021
385,,Unknown,81.0,513.49,2021
386,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,3703.48,2021
387,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,4027.89,2021
389,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,5046.99,2021
390,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,12530.66,2021
391,0 Ouverture de chantier général,Other,800.0,2333.83,2021
393,0 Ouverture de chantier général,Other,1960.0,19182.41,2021
396,0 Ouverture de chantier général,Other,1750.0,13101.73,2021
398,0 Ouverture de chantier général,Other,1450.0,5545.88,2021
399,0 Ouverture de chantier général,Other,3400.0,12536.67,2021
400,0 Ouverture de chantier général,Other,2100.0,7338.1,2021
404,0 Ouverture de chantier général,Other,1140.0,14538.0,2021
405,0 Ouverture de chantier général,Other,1500.0,17361.33,2021
406,0 Ouverture de chantier général,Other,1600.0,6002.86,2021
408,0 Ouverture de chantier général,Other,300.0,1820.65,2021
411,0 Ouverture de chantier général,Other,1540.0,21843.3,2021
412,0 Ouverture de chantier général,Other,2250.0,7686.38,2021
416,20 Chantier bardeaux,Bardeaux,1059.0,3906.77,2021
418,20 Chantier bardeaux,Bardeaux,1450.0,4838.14,2021
419,20 Chantier bardeaux,Bardeaux,1250.0,4468.97,2021
420,20 Chantier bardeaux,Bardeaux,2150.0,7148.72,2021
421,3b' Isolation Bardeau Laine Fibre De Verre,Bardeaux,138.0,1963.19,2021
422,20 Chantier bardeaux,Bardeaux,1650.0,7148.72,2021
423,20 Chantier bardeaux,Bardeaux,2000.0,5263.17,2021
424,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,7548.27,2021
426,Instllation unique du puits de lumière sans la boîte ,Skylights,2000.0,8279.67,2021
427,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,7367.05,2021
428,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,7367.05,2021
429,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,7367.05,2021
430,3b' Isolation Bardeau Laine Fibre De Verre,Bardeaux,138.0,1846.23,2021
431,Isolantion Bardeau Laine Fibre De Verre R20,Bardeaux,138.0,1038.2,2021
432,3b' Isolation Bardeau Laine Fibre De Verre,Bardeaux,138.0,1846.23,2021
433,Isolantion Bardeau Laine Fibre De Verre R20,Bardeaux,138.0,1038.2,2021
436,Dynasty Bardeaux 150 paquets,Bardeaux,4000.0,13707.74,2021
439,Élastomère Gris sans parapet 10 carées ,Élastomère,1000.0,10858.61,2021
440,20 Chantier bardeaux,Bardeaux,1650.0,4923.14,2021
441,20 Chantier bardeaux,Bardeaux,2416.0,21474.51,2021
442,20 Chantier bardeaux,Bardeaux,1150.0,4250.37,2021
443,20 Chantier bardeaux,Bardeaux,1280.0,4329.62,2021
445,22 Sous-traitance Bardeaux,Bardeaux,2000.0,8410.56,2021
449,22 Sous-traitance Bardeaux,Bardeaux,2100.0,6650.0,2021
453,20 Chantier bardeaux,Bardeaux,1800.0,9924.48,2021
456,40 Chantier Elastomère,Other,1820.0,26789.51,2021
459,20 Chantier bardeaux,Bardeaux,1250.0,4353.12,2021
462,20 Chantier bardeaux,Bardeaux,1280.0,4329.62,2021
464,40 Chantier Elastomère,Other,1200.0,14629.96,2021
465,20 Chantier bardeaux,Bardeaux,900.0,4939.62,2021
466,White Élastomère Roof 10 square,Élastomère,1140.0,15128.24,2021
469,20 Chantier bardeaux,Bardeaux,1650.0,8016.11,2021
470,20 Chantier bardeaux,Bardeaux,1250.0,5079.36,2021
471,20 Chantier bardeaux,Bardeaux,1250.0,5079.36,2021
473,20 Chantier bardeaux,Bardeaux,1250.0,5079.36,2021
475,20 Chantier bardeaux,Bardeaux,1250.0,5079.36,2021
476,20 Chantier bardeaux,Bardeaux,1250.0,5079.36,2021
481,40 Chantier Elastomère,Other,1500.0,27126.31,2021
482,40 Chantier Elastomère,Other,1600.0,13592.53,2021
484,40 Chantier Elastomère,Other,1500.0,34845.43,2021
485,22 Sous-traitance Bardeaux,Bardeaux,1280.0,5006.79,2021
488,40 Chantier Elastomère,Other,700.0,15410.02,2021
489,40 Chantier Elastomère,Other,1500.0,24107.89,2021
491,20 Chantier bardeaux,Bardeaux,1280.0,4903.65,2021
492,20 Chantier bardeaux,Bardeaux,1600.0,6768.97,2021
493,20 Chantier bardeaux,Bardeaux,12000.0,54731.36,2021
497,3b' Isolation Bardeau Laine Fibre De Verre,Bardeaux,138.0,579.6,2021
498,20 Chantier bardeaux,Bardeaux,3200.0,17566.97,2021
501,Isolantion Bardeau Laine Fibre De Verre R20,Bardeaux,138.0,1214.76,2021
502,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,7096.02,2021
503,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,7096.02,2021
504,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,7096.02,2021
512,40 Chantier Elastomère,Other,1500.0,16280.82,2021
514,,Unknown,1000.0,12570.48,2021
515,20 Chantier bardeaux,Bardeaux,2025.0,8782.0,2021
516,20 Chantier bardeaux,Bardeaux,75.0,20211.45,2021
518,40 Chantier Elastomère,Other,1000.0,14195.01,2021
519,40 Chantier Elastomère,Other,1900.0,59434.96,2021
522,,Unknown,1000.0,12570.48,2021
524,20 Chantier bardeaux,Bardeaux,1670.0,7155.2,2021
525,40 Chantier Elastomère,Other,1900.0,49529.68,2021
526,40 Chantier Elastomère,Other,1300.0,18754.94,2021
527,40 Chantier Elastomère,Other,1900.0,46982.18,2021
528,40 Chantier Elastomère,Other,1900.0,49529.68,2021
529,40 Chantier Elastomère,Other,1900.0,45529.23,2021
531,40 Chantier Elastomère,Other,1400.0,16965.21,2021
532,40 Chantier Elastomère,Other,1530.0,22231.07,2021
533,40 Chantier Elastomère,Other,1850.0,21975.28,2021
534,40 Chantier Elastomère,Other,1530.0,29846.35,2021
535,20 Chantier bardeaux,Bardeaux,3323.0,30585.03,2021
541,20 Chantier bardeaux,Bardeaux,1280.0,4965.19,2021
543,20 Chantier bardeaux,Bardeaux,1700.0,6836.41,2021
544,90 Appel de service ADS,Service Call,10.0,993.41,2021
545,40 Chantier Elastomère,Other,1900.0,25700.44,2021
549,40 Chantier Elastomère,Other,1900.0,23222.47,2021
553,Ajout de Drain de cuivre Toit plat,Other,50.0,1379.79,2021
555,40 Chantier Elastomère,Other,750.0,12850.5,2021
556,40 Chantier Elastomère,Other,1030.0,14680.41,2021
562,40 Chantier Elastomère,Other,100.0,2625.63,2021
563,20 Chantier bardeaux,Bardeaux,1500.0,8813.38,2021
564,40 Chantier Elastomère,Other,1800.0,6285.75,2021
574,40 Chantier Elastomère,Other,2500.0,39592.36,2021
583,40 Chantier Elastomère,Other,1400.0,18072.67,2021
584,40 Chantier Elastomère,Other,1400.0,18072.67,2021
585,40 Chantier Elastomère,Other,1100.0,15189.13,2021
587,40 Chantier Elastomère,Other,1200.0,16716.11,2021
588,40 Chantier Elastomère,Other,1200.0,19984.54,2021
589,20 Chantier bardeaux,Bardeaux,1750.0,7844.41,2021
595,20 Chantier bardeaux,Bardeaux,1714.0,6003.1,2021
597,20 Chantier bardeaux,Bardeaux,2310.0,7602.0,2021
600,40 Chantier Elastomère,Other,1350.0,18554.54,2021
603,40 Chantier Elastomère,Other,100.0,8126.52,2021
605,20FR Chantier bardeaux,Bardeaux,1432.0,4735.37,2021
606,20FR Chantier bardeaux,Bardeaux,5392.0,19878.02,2021
607,Toitures inversé blanche sur pontage de béton neuve,Other,20000.0,134167.14,2021
608,20FR Chantier bardeaux,Bardeaux,1946.0,8020.02,2021
609,20FR Chantier bardeaux,Bardeaux,2000.0,6820.21,2021
613,Toitures inversé blanche sur pontage de béton neuve,Other,20000.0,33933.17,2021
614,20FR Chantier bardeaux,Bardeaux,1963.0,7186.34,2021
615,40FR Chantier Elastomère,Other,4500.0,53926.97,2021
624,Démolition Terrasse toit plat,Other,2004.0,32523.86,2021
629,20FR Chantier bardeaux,Bardeaux,1000.0,5573.11,2021
630,40EN Elastomer worksite,Other,900.0,14204.68,2021
632,20FR Chantier bardeaux,Bardeaux,3500.0,12371.67,2021
633,20FR Chantier bardeaux,Bardeaux,1123.0,3650.65,2021
